Filename                                                                                                                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anstyle-query-1.1.5/src/lib.rs                                                                          45                45     0.00%           8                 8     0.00%          33                33     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anstyle-query-1.1.5/src/windows.rs                                                                       6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/backtrace.rs                                                                          5                 5     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/chain.rs                                                                             60                60     0.00%           6                 6     0.00%          49                49     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/context.rs                                                                           82                82     0.00%          12                12     0.00%          65                65     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/ensure.rs                                                                            94                94     0.00%           7                 7     0.00%          57                57     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/error.rs                                                                            410               367    10.49%          52                46    11.54%         387               336    13.18%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/fmt.rs                                                                              122               122     0.00%           3                 3     0.00%          55                55     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/kind.rs                                                                              25                25     0.00%           6                 6     0.00%          23                23     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/lib.rs                                                                               25                25     0.00%           6                 6     0.00%          20                20     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/ptr.rs                                                                               67                55    17.91%          19                16    15.79%          88                75    14.77%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/anyhow-1.0.102/src/wrapper.rs                                                                           34                34     0.00%           7                 7     0.00%          21                21     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/atoi-2.0.0/src/lib.rs                                                                                  293               293     0.00%          26                26     0.00%         214               214     0.00%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/atomic-waker-1.1.2/src/lib.rs                                                                           75                36    52.00%           6                 2    66.67%          68                32    52.94%           0                 0         -
cargo/registry/src/index.crates.io-1949cf8c6b5b557f/aws-lc-rs-1.17.0/src/aead.rs                                                                           246               246     0.00%          41                41     0.00%         286               286     0.00%           0                 0         -
